"","Date","PM10","total","I65","I45.64","I25.44","I1.24","I0.1","IN"
"9547",2004-07-14,18,143.714285714286,96.7142857142857,31.1428571428571,9.28571428571429,3.42857142857143,2.57142857142857,6.14285714285714
"9548",2004-07-20,28,141.142857142857,91.1428571428571,33.5714285714286,10.5714285714286,2.57142857142857,3,5.85714285714286
"9549",2004-07-26,13,151.142857142857,103.857142857143,31.5714285714286,9.42857142857143,2.28571428571429,3.28571428571429,6.57142857142857
"9550",2004-08-01,11,151.142857142857,103.857142857143,31.5714285714286,9.42857142857143,2.28571428571429,3.28571428571429,6.57142857142857
"9551",2004-08-07,8,143.142857142857,102,28.2857142857143,7.71428571428571,3.14285714285714,1.71428571428571,4.85714285714286
"9552",2004-08-13,13,147.142857142857,99.1428571428571,33.7142857142857,8.71428571428571,3.42857142857143,1.85714285714286,5.42857142857143
"9553",2004-08-19,26,138.571428571429,94.5714285714286,30.5714285714286,7.85714285714286,3.14285714285714,2.14285714285714,5.71428571428571
"9554",2004-08-25,10,141.285714285714,97.1428571428571,31.2857142857143,8.42857142857143,2.57142857142857,1.28571428571429,5.85714285714286
"9555",2004-08-31,16,142.571428571429,97.7142857142857,29,11.1428571428571,2.28571428571429,2.14285714285714,7.42857142857143
"9556",2004-09-06,11,153.285714285714,104.285714285714,34,9.85714285714286,3.57142857142857,1.57142857142857,6.14285714285714
"9557",2004-09-12,14,153.285714285714,104.285714285714,34,9.85714285714286,3.57142857142857,1.57142857142857,6.14285714285714
"9558",2004-09-18,8,142.714285714286,97.2857142857143,30.8571428571429,10.2857142857143,1.85714285714286,2.28571428571429,6.71428571428571
"9559",2004-09-24,12,140.142857142857,96.2857142857143,29.4285714285714,9.85714285714286,2.42857142857143,2,6.71428571428571
"9560",2004-09-30,9,134,93.1428571428571,29.4285714285714,7.57142857142857,2.14285714285714,1.42857142857143,7.14285714285714
"9561",2004-10-06,13,193.142857142857,131.857142857143,43,11.4285714285714,3.14285714285714,3.71428571428571,8.85714285714286
"9562",2004-10-12,10,159.857142857143,111.571428571429,34,10.2857142857143,1.42857142857143,2.42857142857143,6.14285714285714
"9563",2004-10-24,10,155.285714285714,108.571428571429,33.1428571428571,8.57142857142857,2.28571428571429,2.71428571428571,6.14285714285714
"9564",2004-11-05,9,124.714285714286,87.4285714285714,26.4285714285714,8.28571428571429,1.71428571428571,0.857142857142857,5.14285714285714
"9565",2004-11-11,17,180.142857142857,128.142857142857,36.4285714285714,11.8571428571429,2.28571428571429,1.28571428571429,9
"9566",2004-11-17,25,123.285714285714,85.2857142857143,28.1428571428571,6.57142857142857,1.85714285714286,1.28571428571429,6
"9567",2004-11-23,15,185.428571428571,128.285714285714,40.7142857142857,10.7142857142857,2.71428571428571,2.71428571428571,6.28571428571429
"9568",2004-11-29,7,168.428571428571,117.428571428571,35.2857142857143,9.57142857142857,3,2.71428571428571,6.57142857142857
"9569",2004-12-05,11,168.428571428571,117.428571428571,35.2857142857143,9.57142857142857,3,2.71428571428571,6.57142857142857
"9570",2004-12-11,7,160.142857142857,113,33.1428571428571,9.42857142857143,2.14285714285714,2.42857142857143,7.42857142857143
"9571",2004-12-17,12,137.714285714286,100.857142857143,25.8571428571429,8.57142857142857,1.14285714285714,1.28571428571429,9.85714285714286
"9572",2004-12-23,9,112,80.7142857142857,21.4285714285714,7.28571428571429,1.28571428571429,1.28571428571429,6
"9574",2004-01-04,16,143.714285714286,101.714285714286,28.4285714285714,9,2.42857142857143,1.85714285714286,8.42857142857143
"9575",2004-01-10,8,141,101.857142857143,26.7142857142857,9.57142857142857,1.42857142857143,1.28571428571429,7.85714285714286
"9576",2004-01-16,9,115.857142857143,80.1428571428571,25.5714285714286,7.28571428571429,1.14285714285714,1.28571428571429,6
"9577",2004-01-22,16,110.714285714286,77.1428571428571,23.4285714285714,5.85714285714286,2.71428571428571,1.42857142857143,7.42857142857143
"9578",2004-01-28,10,149.285714285714,107.714285714286,28,9.71428571428571,1.57142857142857,2.14285714285714,10.7142857142857
"9579",2004-02-03,15,223.714285714286,160.571428571429,42.5714285714286,12.5714285714286,3.85714285714286,3.28571428571429,15.4285714285714
"9580",2004-02-09,14,189.285714285714,133.714285714286,40.2857142857143,10.7142857142857,3,1.57142857142857,13.4285714285714
"9581",2004-02-15,9,189.285714285714,133.714285714286,40.2857142857143,10.7142857142857,3,1.57142857142857,13.4285714285714
"9582",2004-02-21,16,194.428571428571,140.714285714286,38.7142857142857,9.71428571428571,2.42857142857143,2.14285714285714,10.4285714285714
"9583",2004-02-27,10,244.714285714286,171.857142857143,50.2857142857143,15.2857142857143,4,3.14285714285714,13.5714285714286
"9584",2004-03-10,12,260.428571428571,184.571428571429,52.8571428571429,16.7142857142857,3.71428571428571,2.42857142857143,15.1428571428571
"9585",2004-03-16,9,258.571428571429,180.571428571429,56,14.8571428571429,3.42857142857143,2.85714285714286,15.2857142857143
"9586",2004-03-22,8,224.428571428571,158.285714285714,46,13.8571428571429,3.14285714285714,3,13.4285714285714
"9587",2004-03-28,7,224.428571428571,158.285714285714,46,13.8571428571429,3.14285714285714,3,13.4285714285714
"9588",2004-04-03,11,156.857142857143,111,32.2857142857143,8.71428571428571,2.57142857142857,2.14285714285714,9.85714285714286
"9589",2004-04-09,13,153,108.571428571429,30.1428571428571,9.71428571428571,2.71428571428571,1.71428571428571,10.1428571428571
"9590",2004-04-15,8,165.428571428571,113.571428571429,36,11.4285714285714,3,1,8
"9591",2004-04-21,12,140.857142857143,101.428571428571,28.1428571428571,7.71428571428571,2.28571428571429,1.14285714285714,8.71428571428571
"9592",2004-04-27,15,170.142857142857,120.571428571429,33.2857142857143,10.7142857142857,3,2,7.71428571428571
"9593",2004-05-03,8,153.571428571429,106.857142857143,34.8571428571429,7.85714285714286,1.57142857142857,2.14285714285714,8.28571428571429
"9594",2004-05-09,18,153.571428571429,106.857142857143,34.8571428571429,7.85714285714286,1.57142857142857,2.14285714285714,8.28571428571429
"9595",2004-05-15,25,146,100.285714285714,31.8571428571429,9.14285714285714,2.28571428571429,2.14285714285714,7.57142857142857
"9596",2004-05-27,14,141.428571428571,98.5714285714286,29,9.42857142857143,2.57142857142857,1.42857142857143,7.28571428571429
"9597",2004-06-08,40,161,107.285714285714,35.5714285714286,11.7142857142857,4.14285714285714,2,9.85714285714286
"9598",2004-06-14,18,141.857142857143,98.8571428571429,30.1428571428571,7.57142857142857,3.42857142857143,1.57142857142857,6.57142857142857
"9599",2004-06-26,19,146.142857142857,99.5714285714286,30.7142857142857,9.28571428571429,3,3,5.42857142857143
"9600",2004-07-08,25,152,104.142857142857,32.2857142857143,9.71428571428571,3,2.28571428571429,8.28571428571429
"9601",2004-07-14,17,143.714285714286,96.7142857142857,31.1428571428571,9.28571428571429,3.42857142857143,2.57142857142857,6.14285714285714
"9602",2004-07-20,27,141.142857142857,91.1428571428571,33.5714285714286,10.5714285714286,2.57142857142857,3,5.85714285714286
"9603",2004-07-26,13,151.142857142857,103.857142857143,31.5714285714286,9.42857142857143,2.28571428571429,3.28571428571429,6.57142857142857
"9604",2004-08-01,12,151.142857142857,103.857142857143,31.5714285714286,9.42857142857143,2.28571428571429,3.28571428571429,6.57142857142857
"9605",2004-08-07,8,143.142857142857,102,28.2857142857143,7.71428571428571,3.14285714285714,1.71428571428571,4.85714285714286
"9606",2004-08-13,14,147.142857142857,99.1428571428571,33.7142857142857,8.71428571428571,3.42857142857143,1.85714285714286,5.42857142857143
"9607",2004-08-19,26,138.571428571429,94.5714285714286,30.5714285714286,7.85714285714286,3.14285714285714,2.14285714285714,5.71428571428571
"9608",2004-08-25,11,141.285714285714,97.1428571428571,31.2857142857143,8.42857142857143,2.57142857142857,1.28571428571429,5.85714285714286
"9609",2004-08-31,14,142.571428571429,97.7142857142857,29,11.1428571428571,2.28571428571429,2.14285714285714,7.42857142857143
"9610",2004-09-06,13,153.285714285714,104.285714285714,34,9.85714285714286,3.57142857142857,1.57142857142857,6.14285714285714
"9611",2004-09-12,38,153.285714285714,104.285714285714,34,9.85714285714286,3.57142857142857,1.57142857142857,6.14285714285714
"9612",2004-09-18,3,142.714285714286,97.2857142857143,30.8571428571429,10.2857142857143,1.85714285714286,2.28571428571429,6.71428571428571
"9613",2004-09-24,15,140.142857142857,96.2857142857143,29.4285714285714,9.85714285714286,2.42857142857143,2,6.71428571428571
"9614",2004-09-30,12,134,93.1428571428571,29.4285714285714,7.57142857142857,2.14285714285714,1.42857142857143,7.14285714285714
"9615",2004-10-06,20,193.142857142857,131.857142857143,43,11.4285714285714,3.14285714285714,3.71428571428571,8.85714285714286
"9616",2004-10-12,20,159.857142857143,111.571428571429,34,10.2857142857143,1.42857142857143,2.42857142857143,6.14285714285714
"9617",2004-10-18,21,155.285714285714,108.571428571429,33.1428571428571,8.57142857142857,2.28571428571429,2.71428571428571,6.14285714285714
"9618",2004-10-24,11,155.285714285714,108.571428571429,33.1428571428571,8.57142857142857,2.28571428571429,2.71428571428571,6.14285714285714
"9619",2004-10-30,20,171.857142857143,119.714285714286,36.1428571428571,11,2.57142857142857,2,10
"9620",2004-11-05,9,124.714285714286,87.4285714285714,26.4285714285714,8.28571428571429,1.71428571428571,0.857142857142857,5.14285714285714
